item,category,current_stock,minimum_stock,maximum_stock,unit,supplier
Coffee Beans - Arabica,Coffee,53,28,59,kg,Western Ghats Roasters
Coffee Beans - Robusta,Coffee,70,49,67,kg,Western Ghats Roasters
Ground Coffee - House Blend,Coffee,72,60,140,kg,Western Ghats Roasters
Instant Coffee,Coffee,121,31,117,kg,Nestle Foodservice
Coffee Filters,Coffee,76,74,116,packets,CaféSupply Co.
Coffee Syrup - Vanilla,Coffee,64,11,75,bottles,Monin Distributors India
Coffee Syrup - Caramel,Coffee,15,10,49,bottles,Monin Distributors India
Coffee Syrup - Hazelnut,Coffee,106,41,104,bottles,Monin Distributors India
Whole Milk,Dairy,75,60,144,litres,Amul Dairy Distributors
Skimmed Milk,Dairy,29,22,108,litres,Amul Dairy Distributors
Fresh Cream,Dairy,94,44,130,litres,Amul Dairy Distributors
Butter,Dairy,13,11,51,kg,Amul Dairy Distributors
Mozzarella Cheese,Dairy,52,43,72,kg,Dodla Cheese & Dairy
Cheddar Cheese,Dairy,51,34,64,kg,Dodla Cheese & Dairy
Yogurt,Dairy,54,15,100,kg,Amul Dairy Distributors
Whipped Cream,Dairy,37,41,73,bottles,Dodla Cheese & Dairy
Tomatoes,Vegetables,126,45,130,kg,Green Valley Produce
Onions,Vegetables,26,20,79,kg,Green Valley Produce
Bell Peppers,Vegetables,61,43,63,kg,Green Valley Produce
Lettuce,Vegetables,42,11,49,kg,Green Valley Produce
Mushrooms,Vegetables,105,51,131,kg,Green Valley Produce
Spinach,Vegetables,86,57,109,kg,Green Valley Produce
Garlic,Vegetables,91,45,115,kg,Green Valley Produce
Potatoes,Vegetables,38,27,70,kg,Green Valley Produce
Pizza Dough Base,Bakery,218,198,352,pieces,Artisan Bakehouse
Burger Buns,Bakery,301,167,350,pieces,Artisan Bakehouse
Sandwich Bread,Bakery,119,73,131,packets,Artisan Bakehouse
Baguette,Bakery,289,134,311,pieces,Artisan Bakehouse
Croissants,Bakery,29,38,128,pieces,Artisan Bakehouse
Pancake Mix,Bakery,55,34,67,kg,Artisan Bakehouse
Bread Rolls,Bakery,273,58,338,pieces,Artisan Bakehouse
